,transaction_id,bonus_card_number,total_price,date,season,customer_review,payment_method
0,a4e7ee11-6fd3-41cd-86f6-e2fbfcffd719,BONUS-nazz-7545,2.31,2025-04-08 22:46:57.088531,spring,4,credit_card
1,e5f457b8-9548-4da3-ba35-9a15617622d2,,9.46,2024-12-22 09:44:38.363233,autumn,4,credit_card
2,23afdf7b-5233-4bd8-86e9-68b357d90926,BONUS-theN-4372,9.35,2024-12-28 02:24:11.413982,autumn,2,credit_card
3,0e5f69c5-ff78-4e1b-baf3-87d830d5b7c7,BONUS-aYNB-9712,1.65,2025-04-27 12:04:01.135421,spring,4,credit_card
4,4936a88b-3b3a-4099-9d6f-970d74dffa67,BONUS-joNz-3920,12.82,2025-03-29 03:27:33.632042,winter,1,cash
5,2dc0e738-3b01-4e14-8e78-d3ae841b71d7,BONUS-sxrK-2332,11.66,2025-03-10 09:07:09.019550,winter,2,cash
6,e09e786b-f81c-44e8-aea6-df7d084fa2bc,BONUS-IyYO-7708,7.04,2025-05-12 06:22:27.040727,spring,3,cash
7,bcb99931-d6da-4583-b5b9-8624b0ac3f4f,BONUS-fBNI-2406,3.52,2024-11-09 06:48:56.350055,autumn,5,credit_card
8,37e68355-6ae1-4f24-a3a7-08df381af97d,BONUS-gcDp-9610,5.94,2025-04-26 15:49:22.853545,spring,5,credit_card
9,05d8139b-eab2-471a-8bd7-9e187ddf6a68,BONUS-RSXW-7952,4.57,2024-12-12 20:38:42.682412,autumn,3,credit_card
10,21ff499e-40bd-497c-af01-1c963db0e974,,1.43,2025-06-08 10:00:34.292910,spring,1,credit_card
11,70427687-4095-4cfb-a26a-de14a38d2f92,BONUS-qzpQ-4470,10.18,2025-03-06 04:26:20.943942,winter,5,cash
12,e290ded8-7c06-4038-86bb-5c04ab47360f,BONUS-IyYO-7708,1.1,2025-06-29 19:10:34.362460,spring,5,cash
13,5dce7536-8283-4ba8-91d2-4450dc8522c1,BONUS-IJsX-1611,5.72,2024-12-30 15:47:26.495609,autumn,4,credit_card
14,42f167d0-931e-444c-a916-f0be35d4d568,BONUS-fwqh-2643,9.57,2025-06-30 12:10:29.124635,spring,1,cash
15,edd543c9-996e-4e61-9915-88b010955472,BONUS-DXCI-4326,0.16,2024-08-27 23:39:32.002678,summer,3,cash
16,0fe9c3bf-00a6-4a1b-88bb-a7fb02d2a60b,BONUS-AbSV-9241,5.89,2025-05-04 18:41:19.809550,spring,1,credit_card
17,5c25567e-9a27-49ad-a33d-0fa0471aa0a4,,5.06,2025-03-03 16:28:41.736701,winter,2,cash
18,11d6e23b-6085-4727-bb90-22c4d3b9575c,BONUS-zyoD-2423,0.66,2024-10-30 18:17:55.057632,autumn,5,credit_card
19,4c6a23df-5dfb-41b4-8048-87979f5ca7e7,BONUS-qzpQ-4470,4.4,2024-10-21 22:37:02.534824,autumn,2,cash
20,51e069da-0376-4168-882d-9eb24c2e8704,BONUS-CPCs-7562,6.16,2024-11-24 18:23:40.131768,autumn,2,cash
21,de56adbc-60e8-4c8c-bf99-dfc884918938,BONUS-QgEK-1326,9.02,2025-01-31 05:58:26.417001,winter,4,credit_card
22,a061a3b0-cff3-481a-813b-f8480b611ae5,,11.72,2024-11-17 12:36:46.652036,autumn,5,cash
23,13e4297a-043d-493d-b9a6-b418343f36ec,BONUS-JSBL-1993,6.93,2025-02-28 01:24:10.058979,winter,5,cash
24,076a4217-a3f7-4244-b781-46920101a6ee,BONUS-hJmR-8144,11.72,2025-02-19 09:05:42.115840,winter,5,cash
25,eaf785d1-3474-41e9-a111-0328392bc351,,7.92,2024-10-30 04:02:29.013051,autumn,5,cash
